M X: -1562, Y: -3882, Z:512 11:45:08
M X: -1266, Y: -3908, Z:209 11:45:08
M X: -1568, Y: -3872, Z:582 11:45:08
M X: -1258, Y: -3866, Z:250 11:45:08
M X: -1580, Y: -3876, Z:549 11:45:08
M X: -1272, Y: -3886, Z:536 11:45:08
M X: -1562, Y: -3880, Z:604 11:45:08
M X: -1572, Y: -3876, Z:531 11:45:08
M X: -1538, Y: -3856, Z:542 11:45:08
M X: -1560, Y: -3848, Z:541 11:45:08
M X: -1588, Y: -3896, Z:560 11:45:08
M X: -1540, Y: -3856, Z:560 11:45:08
M X: -1258, Y: -3848, Z:247 11:45:08
M X: -1540, Y: -3862, Z:560 11:45:08
M X: -1278, Y: -3880, Z:571 11:45:08
M X: -1538, Y: -3888, Z:546 11:45:08
M X: -1566, Y: -3856, Z:515 11:45:08
M X: -1262, Y: -3924, Z:228 11:45:08
M X: -1550, Y: -3574, Z:550 11:45:08
M X: -1264, Y: -3574, Z:517 11:45:08
M X: -1544, Y: -3884, Z:534 11:45:08
M X: -1272, Y: -3902, Z:524 11:45:08
M X: -1576, Y: -3878, Z:565 11:45:08
M X: -1570, Y: -3886, Z:527 11:45:08
M X: -1582, Y: -3874, Z:226 11:45:08
M X: -1584, Y: -3894, Z:541 11:45:08
M X: -1560, Y: -3878, Z:182 11:45:08
M X: -1542, Y: -3892, Z:525 11:45:08
M X: -1244, Y: -3852, Z:592 11:45:08
M X: -1568, Y: -3574, Z:567 11:45:08
M X: -1550, Y: -3842, Z:255 11:45:08
M X: -1596, Y: -3892, Z:557 11:45:08
M X: -1560, Y: -3552, Z:563 11:45:08
M X: -1568, Y: -3864, Z:244 11:45:08
M X: -1584, Y: -3568, Z:537 11:45:08
M X: -1574, Y: -3866, Z:526 11:45:08
M X: -1544, Y: -3858, Z:525 11:45:08
M X: -1560, Y: -3872, Z:558 11:45:08
M X: -1280, Y: -3846, Z:630 11:45:08
M X: -1542, Y: -3556, Z:551 11:45:08
M X: -1558, Y: -3576, Z:538 11:45:08
M X: -1586, Y: -3870, Z:522 11:45:08
M X: -1560, Y: -3868, Z:560 11:45:08
M X: -1584, Y: -3850, Z:519 11:45:08
M X: -1560, Y: -3892, Z:552 11:45:08
M X: -1580, Y: -3870, Z:570 11:45:08
M X: -1554, Y: -3878, Z:530 11:45:08
M X: -1560, Y: -3912, Z:591 11:45:08
M X: -1546, Y: -3892, Z:525 11:45:08
M X: -1568, Y: -3886, Z:533 11:45:08
M X: -1544, Y: -3862, Z:528 11:45:08
M X: -1546, Y: -3884, Z:535 11:45:08
M X: -1550, Y: -3850, Z:597 11:45:08
M X: -1276, Y: -3856, Z:525 11:45:08
M X: -1578, Y: -3872, Z:249 11:45:08
M X: -1578, Y: -3562, Z:580 11:45:08
M X: -1556, Y: -3866, Z:517 11:45:08
M X: -1558, Y: -3886, Z:534 11:45:08
M X: -1254, Y: -3852, Z:243 11:45:08
M X: -1564, Y: -3900, Z:540 11:45:08
M X: -1576, Y: -3860, Z:539 11:45:08
M X: -1546, Y: -3866, Z:526 11:45:08
M X: -1550, Y: -3864, Z:537 11:45:08
M X: -1558, Y: -3858, Z:532 11:45:08
M X: -1576, Y: -3858, Z:219 11:45:08
M X: -1596, Y: -3850, Z:562 11:45:08
M X: -1578, Y: -3888, Z:241 11:45:08
M X: -1264, Y: -3868, Z:226 11:45:08
M X: -1278, Y: -3886, Z:254 11:45:08
M X: -1276, Y: -3914, Z:188 11:45:08
M X: -1582, Y: -3850, Z:490 11:45:08
M X: -1572, Y: -3880, Z:216 11:45:08
M X: -1280, Y: -3568, Z:523 11:45:08
M X: -1582, Y: -3886, Z:522 11:45:08
M X: -1614, Y: -3878, Z:247 11:45:08
M X: -1544, Y: -3928, Z:574 11:45:08
M X: -1562, Y: -3888, Z:246 11:45:08
M X: -1278, Y: -3898, Z:526 11:45:08
M X: -1252, Y: -3846, Z:556 11:45:08
M X: -1264, Y: -3866, Z:551 11:45:08
M X: -1556, Y: -3874, Z:232 11:45:08
M X: -1272, Y: -3850, Z:243 11:45:08
M X: -1604, Y: -3900, Z:216 11:45:08
M X: -1550, Y: -3876, Z:532 11:45:08
M X: -1564, Y: -3904, Z:518 11:45:08
M X: -1546, Y: -3848, Z:548 11:45:08
M X: -1266, Y: -3846, Z:213 11:45:08
M X: -1594, Y: -3842, Z:548 11:45:08
M X: -1580, Y: -3882, Z:533 11:45:08
M X: -1548, Y: -3890, Z:252 11:45:08
M X: -1568, Y: -3846, Z:529 11:45:08
M X: -1592, Y: -3856, Z:558 11:45:08
M X: -1274, Y: -3866, Z:574 11:45:08
M X: -1542, Y: -3868, Z:562 11:45:08
M X: -1278, Y: -3874, Z:241 11:45:08
M X: -1558, Y: -3900, Z:606 11:45:08
M X: -1556, Y: -3582, Z:523 11:45:08
M X: -1254, Y: -3854, Z:531 11:45:08
M X: -1574, Y: -3574, Z:196 11:45:08
M X: -1576, Y: -3868, Z:542 11:45:08
M X: -1272, Y: -3864, Z:516 11:45:08
M X: -1566, Y: -3884, Z:252 11:45:08
M X: -1540, Y: -3928, Z:245 11:45:08
M X: -1276, Y: -3886, Z:218 11:45:08
M X: -1278, Y: -3572, Z:542 11:45:08
M X: -1596, Y: -3862, Z:204 11:45:08
M X: -1550, Y: -3894, Z:534 11:45:08
M X: -1560, Y: -3874, Z:542 11:45:08
M X: -1542, Y: -3862, Z:254 11:45:08
M X: -1276, Y: -3896, Z:174 11:45:08
M X: -1564, Y: -3846, Z:211 11:45:08
M X: -1616, Y: -3884, Z:566 11:45:08
M X: -1270, Y: -3888, Z:521 11:45:08
M X: -1592, Y: -3570, Z:533 11:45:08
M X: -1272, Y: -3866, Z:561 11:45:08
M X: -1276, Y: -3882, Z:228 11:45:08
M X: -1562, Y: -3854, Z:538 11:45:08
M X: -1580, Y: -3570, Z:518 11:45:08
M X: -1568, Y: -3882, Z:515 11:45:08
M X: -1612, Y: -3912, Z:547 11:45:08
M X: -1562, Y: -3926, Z:524 11:45:08
M X: -1596, Y: -3956, Z:562 11:45:08
M X: -1270, Y: -3912, Z:226 11:45:08
M X: -1548, Y: -3900, Z:513 11:45:08
M X: -1274, Y: -3858, Z:245 11:45:08
M X: -1552, Y: -3888, Z:205 11:45:08
M X: -1582, Y: -3884, Z:194 11:45:08
M X: -1578, Y: -3860, Z:526 11:45:08
M X: -1580, Y: -3874, Z:255 11:45:08
M X: -1608, Y: -3888, Z:569 11:45:08
M X: -1588, Y: -3870, Z:253 11:45:08
M X: -1554, Y: -3850, Z:238 11:45:08
M X: -1544, Y: -3884, Z:536 11:45:08
M X: -1566, Y: -3894, Z:514 11:45:08
M X: -1538, Y: -3890, Z:195 11:45:08
M X: -1550, Y: -3882, Z:244 11:45:08
M X: -1280, Y: -3898, Z:530 11:45:08
M X: -1558, Y: -3874, Z:210 11:45:08
M X: -1564, Y: -3868, Z:602 11:45:08
M X: -1540, Y: -3886, Z:539 11:45:08
M X: -1540, Y: -3858, Z:554 11:45:08
M X: -1570, Y: -3878, Z:252 11:45:08
M X: -1550, Y: -3902, Z:532 11:45:08
M X: -1576, Y: -3872, Z:559 11:45:08
M X: -1570, Y: -3898, Z:513 11:45:08
M X: -1620, Y: -3864, Z:500 11:45:08
M X: -1560, Y: -3872, Z:564 11:45:08
M X: -1556, Y: -3914, Z:526 11:45:08
M X: -1548, Y: -3874, Z:220 11:45:08
M X: -1262, Y: -3900, Z:528 11:45:08
M X: -1564, Y: -3886, Z:235 11:45:08
M X: -1590, Y: -3876, Z:541 11:45:08
M X: -1552, Y: -3878, Z:516 11:45:08
M X: -1542, Y: -3856, Z:219 11:45:08
M X: -1560, Y: -3896, Z:546 11:45:08
M X: -1560, Y: -3580, Z:523 11:45:08
M X: -1538, Y: -3908, Z:254 11:45:08
M X: -1572, Y: -3904, Z:242 11:45:08
M X: -1542, Y: -3894, Z:201 11:45:08
M X: -1590, Y: -3898, Z:215 11:45:08
M X: -1584, Y: -3852, Z:247 11:45:08
M X: -1552, Y: -3844, Z:220 11:45:08
M X: -1264, Y: -3902, Z:521 11:45:08
M X: -1542, Y: -3582, Z:247 11:45:08
M X: -1568, Y: -3886, Z:216 11:45:08
M X: -1554, Y: -3862, Z:523 11:45:08
M X: -1554, Y: -3882, Z:243 11:45:08
M X: -1558, Y: -3878, Z:208 11:45:08
M X: -1586, Y: -3842, Z:576 11:45:08
M X: -1552, Y: -3892, Z:538 11:45:08
M X: -1582, Y: -3900, Z:533 11:45:08
M X: -1566, Y: -3860, Z:243 11:45:08
M X: -1574, Y: -3900, Z:232 11:45:08
M X: -1552, Y: -3864, Z:244 11:45:08
M X: -1580, Y: -3894, Z:574 11:45:08
M X: -1622, Y: -3874, Z:205 11:45:08
M X: -1580, Y: -3932, Z:254 11:45:08
M X: -1588, Y: -3854, Z:534 11:45:08
M X: -1278, Y: -3890, Z:534 11:45:08
M X: -1272, Y: -3872, Z:525 11:45:08
M X: -1558, Y: -3908, Z:546 11:45:08
M X: -1586, Y: -3916, Z:548 11:45:08
M X: -1272, Y: -3956, Z:253 11:45:08
M X: -1248, Y: -3920, Z:526 11:45:08
M X: -1548, Y: -3902, Z:513 11:45:08
M X: -1594, Y: -3910, Z:212 11:45:08
M X: -1558, Y: -3866, Z:250 11:45:08
M X: -1544, Y: -3896, Z:537 11:45:08
M X: -1570, Y: -3880, Z:515 11:45:08
M X: -1568, Y: -3902, Z:516 11:45:08
M X: -1586, Y: -3862, Z:216 11:45:08
M X: -1538, Y: -3874, Z:547 11:45:08
M X: -1316, Y: -3868, Z:239 11:45:08
M X: -1566, Y: -3858, Z:246 11:45:08
M X: -1590, Y: -3912, Z:212 11:45:08
M X: -1560, Y: -3872, Z:553 11:45:08
M X: -1600, Y: -3574, Z:236 11:45:08
M X: -1560, Y: -3922, Z:208 11:45:08
M X: -1542, Y: -3870, Z:158 11:45:08
M X: -1576, Y: -3880, Z:515 11:45:08
